ข้อความรีวิว,True_Label,SVM_Predict
วันนี้เด็กๆยังไม่เปิดเรียนเลยมีแผนพาครอบครัวไปทานข้าวนอกบ้าน เลยนึกถึงร้านป้าบุญ7 มีสวนสัตว์เล็ก สวนน้ำ สวนไดโนเสา  ที่จอดรถสะดวก บ่ายต้นๆอากาศร้อนมากเดินเข้าไปสอบถามพนักงานก็ได้รับคำแนะนำ เราก็เดินเข้าไปดูสถานที่ เราเลือกนั่งซุ้ม …,positive,positive
บรรยากาศดีมากกก มีเป็ดด้วยย อาหารอร่อย ที่นั่งสบายอยู่กลางน้ำ เป็นส่วนตัว ไม่แออัด,positive,positive
"อร่อยแกร๊  ห่อหมก ถึงเครื่องถึงรสสสส แหนมแนม
บรรยากาศ ดี กว้างขวาง คนเยอะนะ แต่ไม่อึดอัด และอาหารไท่ได้รอนานเลย   ที่สำคัญพนักงานบริการดี  สุดๆๆ",positive,positive
อาหารอร่อย มีสนามเด็กเล่นเยอะมาก น่าจะสามารถพาสัตว์เลี้ยงมาได้ ห้องน้ำสะอาดติดแอร์กลิ่นหอม,positive,positive
ดีทุกอย่างเลย บรรยากาศ อาการที่สดสะอาดอร่อย และการบริการที่เยี่ยมยอด ชื่อร้านนี่การันตีอยู่แล้ว ไม่ว่าจะเป็นสาขาไหน มาตฐานอาหารบรรยากาศและการบริการที่ดีสุดๆ,positive,positive
บรรยากาศดี สถานที่กว้างใหญ่ มีสัตว์ให้ชมหลายชนิด เหมาะแก่การมานั่งกินลมชมวิว มาเป็นคู่รักก็ได้หรือมาทั้งครอบครัวก็ดี อาหารรสชาติใช้ได้,positive,positive
ร้านสวย บรรยากาศดีร่มรื่นสุดๆ มีปลาคราฟเยอะมาก มุมถ่ายรูปสวยๆเยอะ  แถมมีสนามเด็กเล่นสำหรับเด็กๆ,positive,positive
#ร้านต้องจอด วันนี้พามาพบกับร้าน ป้าบุญคาเฟ่   จ.ชลบุรี #paboon #cafe ร้านกว้างริมทะเลสาบบ่อปลาคาร์ฟ น้ำตกพ่นหมอก บรรยากาศเหมาะสำหรับครอบครัวและเด็กๆมาก มีทั้งสนามเด็กเล่นทุกขนาด โซนสัตว์เลี้ยง หนู กระต่าย ไก่สายพันธุ์แปลก …,neutral,positive
"บรรยากาศดีมากร่มรื่น มีบ่อปลาคาฟที่ค่อนข้างใหญ่
ไดโนเสาร์ขยับได้เหมาะสำหรับการพาครอบครัวมารับประทานอาหาร  เด็กเด็กชอบมีสนามเด็กเล่น …",positive,positive
สถานที่กว้างขวางแข่งเป็นซุ้มแยกเป็นสัดส่วน ไม่อึดอัด ที่นั่งท่ามกลางสระน้ำขนาดใหญ่ มีปลาคาร์ฟว่ายมาหา บ่อกระต่าย นก เป็ดคอลดั๊ก เครื่องเล่นเด็กหลายชุด ใหญ่มากๆ มาที่เดียวครบ จบเลยค่ะ,positive,positive
"เป็นร้านอาหารที่เหมาะกับครอบครัวมากๆ
1.บรรยากาศดี สะอาดคนเยอะ แต่ไม่แออัด
2.มีเครื่องเล่น และสัตว์ เหมาะกับการพาลูกมาเล่น
3. อาหารอร่อย ประเภทยำ ตำ แซ่บ ค่ะ",positive,positive
พนักงานแจ้งรออาหาร 20 นาที แต่จริงๆรออาหารไม่นาน เลย(มาวันธรรมดาช่วงเย็น) อาหารได้เยอะ อร่อย พนักงานบริการดี,positive,positive
มาในช่วงวันธรรมดาคนเลยไม่ค่อยเยอะค่ะ ถ้ามาเสาร์อาทิตย์อาจจะคนเยอะหน่อยๆต้องรอคิว มาถึงที่นี่ต้องยอมรับเลยว่าตกแต่งบรรยากาศได้ดีมากๆ เหมือนมาสวนสนุกที่นั่งกินข้าวได้นิดหน่อยเลย เหมาะสำหรับครอบครัวดีค่ะ มีกิจกรรมให้เด็กเยอะเลย ช้อยส์อาหารมีให้เลือกเยอะเลย ของหวานคือดีมาก มาถึงบางแสนแนะนำค่ะ สาขา7💞💞 …,positive,positive
เป็นคาเฟ่ต์ที่อลังการที่สุดที่เคยไปมา สนามเด็กเล่นใหญ่และเครืองเล่นดีมาก ทีไดโนเสาร์ทั้งด้านหน้าและด้านหลังร้าน มีเสียงและบางตัวขยับได้ด้วย มีเครื่องบินสองลำ ว้าวมากๆ …,positive,positive
ร้านอาหารกว้างขวาง ตกแต่งสวยงาม เหมาะกับทุกเพศ ทุกวัย มีสัตว์เลี้ยงหลากหลาย ถ่ายรูปสวยๆ มีของเล่นให้เด็ก ๆ เหมาะกับมาทานข้าวเป็นครอบครัว อาหารอร่อยค่ะ,positive,positive
ไปวันธรรมดา คนเยอะพอสมควร ลูกชอบที่นี่มากไปทีไรต้องแวะ โซนเด็กเล่นเยอะเลย อาหารอร่อย ราคาเหมาะสม ห้องน้ำติดแอร์เย็นสบาย เหมาะกับครอบครัวมาทานอาหารพักผ่อน,positive,positive
บรรยากาศดี อาหารอร่อย ราคากลางเหมือนร้านอาหารแบบเดียวกัน คนเยอะแต่รอไม่นาน เดินชมบรรยากาศเพลินๆ ไม่ต้องกลัวร้อน เพราะมีสเปรย์ไอน้ำทั่วทั้งร้าน,positive,positive
อาหารอร่อย บรรยากาศดีมาก เหมาะกับครอบครัวที่มีเด็กจะดีมาก เพราะมี สไลด์เด้อขนาดใหญ่หลายอันมีปลาและสัตว์ให้เด็กดู มีไดโนเสาร์ขยับได้เด็กๆชอบมาก แนะนำค่ะ ดีจริงๆ ที่บ้านมาบ่อยมากค่ะ,positive,positive
พนักงานสุภาพมาก (โซนเครื่องบิน) อาหารมาค่อนข้างไว รวมๆประทับใจมาก ต้องมาซ้ำแน่นอน,positive,positive
มาบ่อย ครบครันทั้งอาหาร เครื่องดื่ม ขนม สนามเด็กเล่น มีบ่อปลาให้ชม อาหารรสชาติกลางๆแต่ทำอย่างดี วัตถุดิบสดสะอาด พนักงานใส่ใจ เป็นอีกหนึ่งร้านอาหารที่อวดแขกเหรื่อได้ ราคาพอสมควร,positive,positive
อาหารอร่อย ราคาไม่แพง สถานที่ใหญ่โตไม่อึดอัด ที่นั่งทำดีแข็งแรง นั่งได้ทั่งวันเพลินมากครับ ลูกชอบที่มีสัตว์ให้ดูและยังให้อาหารปลาคาร์ฟได้ด้วย แถมห้องน้ำยังติดแอร์และสะอาดอีก แนะนำครับ,neutral,positive
ร้านสวยมากครับ บรรยากาศดี มุมถ่ายรูปเยอะ อาหารอร่อย ราคาไม่แพงมากเทียบกับรสชาติ ปริมาณ คือ คุ้ม ห้องน้ำติดแอร์และกลิ่นหอมมาก ที่จอดรถเยอะมาก มีสวนสนุกให้เด็กๆเล่น พนักงานบริการดีเยี่ยม …,neutral,positive
บรรยากาศดีมาก พนักงานมีเยอะ ให้บริการทั่วถึง ยกมือไหว้ทั้งไปและกลับตลอดทาง การบริการยอมรับแหละว่าทำถึงมาก ดูได้จากป้ายที่ติดแทบจะทุกที่ในเรื่องของการร้องเรียนบริการ ถือว่าใส่ใจสุดๆ อาหารก็ออกเร็ว กินมาหลายสาขาแล้ว รสชาติคงที่ทุกสาขา …,positive,positive
รสชาติอาหารไม่ได้จัดจ้านมากแต่บรรยากาศดีและพนักงานบริการดีสถานที่สวยงามมีให้อาหารปลาด้วย,positive,positive
อาหารอร่อยมา บรรยากาศดี ตกแต่งสวนสวยด้วยต้นไม้ หุ่นไดโนเสาร์ และสัตว์นานาชนิด เหมาะกับครัวครัวมากๆค่ะ,positive,positive
ปกติไปสาขาพัทยาแถวหนองปรือ รอบนี้มาลองสาขาใหม่ที่บางแสนอาหารยังอร่อยเหมือนเดิม พนักงานบริการดีอยู่แล้ว มีการดูแลเอาใจใส่อย่างดี บรรยากาศร่มรื่นลมเย็นสบาย  มุมถ่ายรูปเยอะ (ไข่ตุ๋น หมูตุ๋น อร่อยมาก),positive,positive
"บรรยากาศดี เหมือนมาสวนสัตว์ขนาดย่อม
มีไก่วงวง(มั๊ง) หนูแก้สบี้ กระต่าย ปลาคาร์ป สนามเด็กเล่น ห้องน้ำติดแอร์
เหมาะกับครอบครัวค่ะ",positive,positive
"วันนี้มาชลบุรี เลยถือโอกาสพาหลานๆมากินข้าวที่ร้าน""ป้าบุญคาเฟ่"" สาขา 7 บางแสน เสียหน่อย บรรยากาศดี อาหารอร่อยทุกอย่าง พนักงานบริการดี ที่จอดรถกว้างขวาง เด็กๆชอบมากที่ได้สัมผัสไดโนเสาร์อย่างใกล้ชิด อาหารอร่อยหรือไม่อร่อยก็ขอฟ้องด้วยภาพแล้วกันนะครับ",neutral,positive
11 สิงหาคม วันแม่ปีนี้ชิงพาไปก่อน 1 วัน เพราะรู้ว่าร้านนี้ คนเยอะแน่นอน ร้านเขาน่าจะเปิดมาตั้งแต่ต้นปีแล้วนะแต่น่าจะเป็นคนชลบุรี 0.5% ที่เพิ่งได้มีโอกาสได้ไปเป็นครั้งแรก55 ร้านนี้เขารวมทุกอย่างไว้ที่นี่แล้วครบจบที่เดียว อาหาร​ คาเฟ่ …,positive,positive
บรรยากาศดีมากกกกกกกก สาขานี้กว้างมาก ที่จอดรถเยอะมากๆๆๆ แต่ก็ยังเต็มอยู่ดี 😆 สนามเด็กเล่นเพียบ มุมนั่งดีสะอาดไม่ร้อน บริการดี อาหารรอไม่นาน …,positive,positive
